,text_id,full_text,cohesion,syntax,vocabulary,phraseology,grammar,conventions
10,00B21F9B726F,"Do you think its a good idea for students to commit to a career at a young age? In some societies, students are expected to identity a career by the time they enter high school. Yes it is a good idea to start young because your already step ahead, you will have background knowledge about the career classes you choose and once you get older you won't have time to choose an career. Also taking courses in high school will help you choose your career like for an example academy classes.

As a students taking a career course, will help them learn more about that career and you will have background knowledge about that career. for an example I'm taking auto technology in highschol becuase I want to learn more about cars and how to fix them. after high school I will be going to a community college so I can learn an advance auto technology class and move on and thats I'm going to succeed in life.

Another reason why its a good idea for students to commit to a career at young age is becuase it will help students choose a good career that pays good money and the students will be a one step ahead. by doing this they will accomplish their goals.

others may say that its not a good idea for students to commit a career at a young age becuase they think its waste of time however, its not waste of their time, becuase once your getting older you wont have time to choose an career that will last.

In conclusion, I think its a good a idea for students to commit to a career at a young age becuase you will have some background knowledge to that specific career, you will be one step ahead, and once you get older you won't have time to choose a career.                                                                                                                                                      ",3.0,3.5,3.5,3.5,3.5,3.0
11,00BCADB373EF,"A positive attitude is the key to success for so many people because when you have a positive mind everything can be possible and you know that you are capable of what you put your mind into. To encourage others to have a more positive way of thinking about their life can bring them success. People should have a positive attitude because it brings new opportunities, a healthier and happy life, and success.

People with good personalities attracts successful people and thats the reason why they get too many opportunities from others. New opportunities are not easy to find and once we get them we need to use them wisely and do something productive with them. Its extraordinary impressive how much benefits a person can have if they put effort with being positive every time they can towards others.

A healthier and happy life comes ahead once you add just positive vibes in your life. This doesn't mean you are not going to have problems in your life but the way you response to it is the main point. People can go through a lot of problems and can still make like nothing happen to them. The negativity that others brings shouldn't affect people even thought they might get hurt; what you should care the most is to be in peace with yourselves.

Success is important for everyone, people should make smart choices and learn from others to become professionals themselves in the future. You need to focus on yourselves first and be smart but at the same time treat others with kindness and respect to gain respect from them either. Sometimes life its going to get hard but it will be worth it hard work always pay off with good results although success doesn't seem easy.

In conclusion people will success if they have a positive attitude towards others because they will get more new opportunities. They will attract more successful people into their lives that will give them support , help and dedicate their time to give advice. The positive people always have a better happy and healthier life because they don't let the negative comments affects them or their progress. To become successful you should be consistent every day and work for what you want. Focus on yourself and realize that the importance of your attitude plays a big roll in your life the more positive you are is going to be the more positive opportunities to your future.",3.5,3.0,4.0,3.5,3.0,3.0
12,00D281524375,"Technology allows people to do many things such as order things online, play games, and contact other people in a faster way, and if your family members live far away they be able to contact them.

I belive that it has a positive effect because everybody needs to stay in contact with there family that lives far away, and be able to order online is a real help because if people oder there grocerys online thenthey want have to wait in the long lines at the store to checkout intead of waiting they can also get more items that the store dont have the food or items people.

Others may aruge that techbology is a negative out come because lots of people let it take over there lives and act like they cant go anywhere without it and lots of people try to be on there technology when there driving which is a bad thing to do because they will end up getting into a accident. And if the older generations won't know how to use the technology.

In conclusion, having technology is a postive thing because it helps lots of people out and it makes getting thngs done way faster. ",3.5,2.5,3.5,3.0,3.0,3.0
13,00ED2563D0B1,"Philosopher, physician, and humanitarian Albert Schweitzer once said "" Example is not the main thing in influencing others; it is the only thing"". I strongly agree, imagine you being the reason why a person decided to make a remarkable change in there life just by following your footsteps, imagine how that would make you feel. Setting a good example everyday is one of the most important things you can do in life; you dont know who is watching you, and you dont know who is getting an impact from your good ways. People watch others every move and learn new and better things as time goes so they can also turn out to influence others. Consider yourself as a leader being able to influence people is a leadership movement, everyone needs someone to help them and guide them through things they may not tell you, but they'll watch your examples and learn.

Many may think that there are better ways unlike setting an example by your behavior is the best way to influence others; but little do they know that setting an example by your behavior is the best way to influence others. Setting good examples is helpful in so many ways however; there are other ways to influence others. People get influenced on anything these days, just sitting around and watching TV can influence you to do something. But think about it would you rather have someone set examples for you, and have someone you can watch to motivate you and guide you; or would you rather sit around and procrastinate on time?. As the influencer having people look up to you and following the way you move is a big deal. For example when surgical interns first go to a hospital to work they look up to their head surgeons. The head surgeons set examples for the interns because they want them to be successful, the intern watching the head surgeon during operations and check ups influences and motivates them to do better and be better. Even for school students thats how they all learn from examples the teachers show them, it influences the students to try so they can also be good at what their teaching is teaching them.

Some people may prefer to get influenced in another way because they may not want someone by them step by step they may be more independent and like to be on there own. Having good behavior benefits you in a lot of ways, you will get a lot of opportunities, help and inspire a lot of people and gain a lot. For example parents have a good influence on there kids. They are the reason why there kids wake up and try every day, seeing your parents have a good and positive behavior will motivate and influence you to do better. As you go on with good behavior people will see you and begin to know that there is something your doing to be happy. You will have people come around you because of your vibe and good energy. Once they start talking to you you automatically begin to influence them to be a better person. Knowing that you are a motivator and an influence onto others is a good feeling. You will know that your good work and good behavior has a good effect strong enough to influence others in the best way possible.

Overall setting a good example by your behavior is the best way to influence others, they learn better, feel comfortable and get to experience a lot. Having someone look up to you as a good influence will help you both because it will make you both feel great and you both will benefit from it in the long run. We have people around us for a reason, if you have someone that is willing to help you and influence you to be better in life take the chance because it will be a great experience and you will change as a person once you get influenced in the right way by the right people in life.",3.5,3.0,3.5,3.5,3.5,4.0
14,011AAA636F11,"Have you ever solved a math problem in less than 30 seconds? Math is important to many people. Even president Trump uses math to buy food or pay back to important people. He might be paying people to find a cure for the Coronavirus. However did you know that we use math every single day in our life?

How do people use math every single day you may ask. When you go to the super market to buy food, the register has to add all the food that you bought and they even have to add taxes. How about when you go shopping in the mall with some friends. When some is looking for a job they even have to find out how much is the salary. When your parents pay water bills and taxes, they have to pay the perfect amount of money. If your doing a party you have to find how much money your wasting. In your school you have to use math in mostly all your subject. In science you have find out how much of a mass is in a cup of water then subtract it from the cup to find the mass of water. For history the president has to find out about expensive's and the taxes that each citizens is paying. If you have a hobby or have talents to do an activity you even use math. In theater arts you have to measure and subtract where the lights are hitting and you have to find the perfect angel. In baking you have to add your ingredients and weight it to find it's mass.

When you cook don't tell me you just put random stuff in your pot. You have to find the perfect amount to feed the people you are feeding. In soccer you have to find the angle you are going to kick the soccer ball. Basketball is the same, you have to see from which angel you are going to throw the ball to make a point for your team. Here are some school activity's that you use math in your school.

Science

History

Art

Theater Art

Sports

Cooking Class

Home

After school programs

However several kid's don't like math but they could try it in a fun way. Many children complain about math being to hard or just being boring. I have found a way to make it exciting for kids. They could be playing games or just pretending to buy stuff, like doing a little play that won't cost money. If a student likes painting give them a coloring book that has math in it. Dancing and music is the same thing like coloring. In music you can count how many strings a violin has and compare it to another instrument that is in the violin family. You can watch a funny video that is related to math, you can watch it in your home or in school. Go on a field trip that will be free or that won't cost that much money.

If a student is struggling in math help or show them a way to do it. A kid's classmates or friend could help them in math. They can use math websites like racing cars for boys and coloring games for girls. If they are still struggling then ask there parents if they can stay or to get them a tutor after school. Find them a easier and understandable way to teach them math. The child's teacher can even play fun games with her students like Kahoot,Quizlet live, or even Pear Deck. You can give out prizes like candy or sticker's, that will probably get them more exciting.

Many scientist say that math is helpful to your brain and makes it healthy for you and your brain. You will acknowledge many ways to solve several math problems from years to years until you graduate from collage or high school. The reason why I choose to do my lesson about math is that I want kids to be independent and to get responsible when they grow up to be adults. ",4.0,3.5,3.0,4.0,3.5,4.0
15,01350DF42AED,"When, the people decide to have a good posture, in they live of thing was be better. Even though some people have a negative attitude in their live, all the thing was bad and not want doing noting for fair to make mistakes,nevertheless people has a good attitude always, have a good attitude see the live of the other way,for example when give you a so bad news but you take a good posture and said is okay everything was good,and take a good attitude in the school.

If the people will have a good posture in all position of their live, not have so much preocupation they was be more happy. when you have a big text in the school although,

you never can pass this text but you have a positive attitude, of one you console will call you, and said you pass the text. This is important because the people believe in will pass and when they pass was feel so good, because they this text was so hart, but never to surrender.

when one person go to the hospital and the doctor said to catch an illness, instead of think in all the negative thing like i never been the same person, i will been died, they take a decision of okay is a little illness, will pass end some days, my lives will be a little different, but everything will be good.

See the live in a positive way is think the all thing are possible, always don't care the big was the problem be happy, watch the most terror situation like the best wait possible and don't be worry for all the thing that happen in your like be the most happy you can and see the most bigger problem like the most little ",2.0,2.0,2.0,2.0,2.0,2.0
16,01405C3C569D,"A positive attitude is the key for be successful person in the life make our days happy and interesting, because all do you need to do is be pleasant with yourself and the people around you, if you have a good position a way of thinking or feeling the things around you make your attitude positive.

Example: If you are a worker of costumer service the costumer say bad things about you like you are not a good worker somethings like that, but you don't change your attitude because you know the costumer always have the reason, you never has to change your mind you know your position your attitude has to be positive and continue work with a great attitude.

Maintain positive attitude can help you for a lot reasons. When you see the face from another person and you look his face tired, angry or mad, now you know that person don't have a positive attitude in his life or his environment, show a good face is important because the peoples know if you are ready for star doing something be active, connecting energy and thinking good make your days easy and great.

Although for follow your dreams and your goals in the life you has to know yourself, give respect and receive, your attitude show the person if you are doing good. If you wanna have a good job make good trade,

your attitude give your personality and the peoples approve if you are the best candidate for a good job, if you are willing to have a positive attitude you can make big projects in the future.

Another example about positive attitude, if you are in a interview you need to show your skills and explain clearly good that you can do it, be honest and pleasant with the person that is going to confirm your job, he gonna see if you have the attitude if you are sufficient for have the job.

Clearly all the peoples know the positive attitude is the best way for creating good projects and big things your attitude can help you to make money, good jobs, a good house and a better future. Your attitude share good vibes and make the peoples around you happy the peoples that love you they gonna be happy to, just trying to do greatest things in your life with the best positive attitude.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",3.0,2.0,3.0,2.5,2.5,2.5
17,01501F95B8B2,"10pm curfews is a bad idea, why? Because teens lives would be affected in many different ways, including the fact that in can get them in much more trouble. Teens would have to adjust to this rule and some might not even know about the rule when it comes out. I think that teens should not get an early curfew but instead change it to a later time, so teens dont have to go through having to deal with changing there hole life around. having a law like this can get teens in more trouble because now they have an extra law that can be broken easily with out even knowing. teens enjoy being out late and doing things, it can make them feel older and more grown up like.

Teens are stuck in school seven hours a day and it can take a good bit of there day away so having that option to stay out later and being able to do things is a great option for them. Lots of teens want to go shopping and hang out with friends at a mall, but school and homework can take a while so they cant do it during the day always. for example, a friend and me wanted to go to the movies after school but we got assigned lots of home work and we new we would be busy the next days, so in order to be able to watch the movie, we would have to go at night time. curfews can inter fear with couples who want to do something later in the night, and it would be unfair to the teens to have to go back home just because they can't stay out late. Having said all this, teens are old enough that they can make there own decisions.

Lots of tees have after school jobs taking them late into the night, and a lot of them need to be able to walk home. Teens would have to start having to start to work around the new law and make changes to there work hours. Also kids would start getting less work hours resulting in the not getting enough money, some house hold have teens helping pay bills. Curfews laws are and will be the most common law being broken resulting in an increase of crime. teens do not like it when they get told how long they get to stay out, which will result in them just braking the law.

I would be surprised if teens would start getting in less trouble, because teens will still do what they want even if you set a curfew. A curfew only tells a teen that your not suppose to be outside, but that still does not mean that they will do it. Teens are going to do what they want at the end of the day and not what the law tells them to. The best way to make sure teens can stay on track but the still to be a curfew is that the curfew should be moved up to 12pm. Also teens enjoy going to gas station at night to get stuff and lots of the enjoy the walk as well.

In conclusion I think that if we just move the curfew up to 12pm it would allow teens to have a good night out with out having to worry about being out to late. Also showing that kids can get in more trouble by having an early curfew just means that its a bad idea and should not be implemented. If adults could just put more trust in teens i think it would improve kids behavior and also have kids get to prove them self to show how responsible they can be. teens are more responsible than everyone might think, I think they just need a chance to prove it to everyone. I think earlier curfews are a bad idea and that it should just be moved up a little for that will help teens out in the long shot.",3.0,4.0,3.0,4.0,3.5,3.0
18,017802562E71,"March 12, 20019

The technology allows people to complete many tasks without having contact with others. People can check out books, shop, and play games without speaking to another person. Has the limitation of human contact due to use of the technology had positive or negative effects on peoples lives. in my opinion there are more negative than positive effects about technology

One of a negative effect is. Play games without speaking. We should meet the person first than start to play with that person. instead of play via any web with someone that we do not know who is.

There is another negative effects, kids, and teenagers are able to be in contact with bad people. like kidnappers, this are bad people who take advantages of the technology attacking the most vulnerable in technology the kids make the kids feel confident, and feel they are their friend. there are pedophiles too, looking for kid and teenagers.

Also, because of the technology many frauds are occurring every day hackers stolen some of our personal information. Like our names, address, social security number, banks accounts information, and make frauds to companies.

In conclusion, I believe that the technology has many negatives effects in our social lives

It is bad for our kids, and our information in risk, I wish we could find a safety way to use it.  ",3.0,2.0,3.5,2.5,2.5,2.5
19,01794F5F1423,"Most schools have the same lunch menu every week but, Imagine if that changes. One day the cafeteria plans to change the menu to a healthier on instead of the same one. Try to convince the school principal to decided whether this is a good or bad idea.

Some students think its best to have a healthier lunch and not the same one.

Students always have something different to eat. Some students get bored of eating the same lunch here and there so, why not have a healthier lunch. If the change in the menu where to happen most students would not get bored or complain about their food. Although, one can see that not most of the students enjoy their lunches they mostly just play around with their food on their trays. while some are actual eating.

Some prefer to stay with the same menu. Some would not agree with the change in the lunch menu. However, Others prefer the idea of having the healthier lunch instead of the other lunch menu. On the other hand, Some do not want the change just because of their favorite food on the other menu. But if they try it they might find out hey like something new.

Provides more nutrients. If the cafeteria where to start to give healthier foods in the menu. Students would have the right amount of energy for the rest of the day. This means if they ate a healthier lunch they would not fall asleep for the remainder of class or classes.

In conclusion, the cafeteria should start giving healthier lunch and not whats on the other menu. By the end of the day students would have more energy and be awake in class.                                                          ",3.0,3.5,3.0,3.5,4.0,3.0
